"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"13.00","car7","10.00","-E6","-E6_0","-E6_0","E2_0","0.00","2.83","100.00","0.00","1.52","12.10","10.00","0.00","54.00","64.00","500.00","0","0.89","","80","route2"
"13.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","21.12","100.00","0.00","4.89","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"13.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","56.72","100.00","0.00","7.93","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"13.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","51.35","-1.00","0.00","6.99","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"13.00","car3","5.00","E0","E0_0","E0_0","","0.00","22.58","-1.00","0.00","4.95","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"13.00","car2","0.00","E0","E0_0","E0_0","","0.00","55.16","-1.00","0.00","7.77","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"13.00","car6","0.00","E12","E12_0","E12_0","","100.97","136.56","-1.00","2.89","2.71","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"13.00","car0","0.00","E12","E12_0","E12_0","","114.09","149.93","-1.00","2.78","2.62","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"13.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","174.68","300.00","13.00","12.80","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"14.00","car7","10.00","-E6","-E6_0","-E6_0","E2_0","0.00","5.05","100.00","0.00","2.22","12.10","10.00","0.00","54.00","64.00","500.00","0","0.89","","80","route2"
"14.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","26.50","100.00","0.00","5.38","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"14.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","65.19","100.00","0.00","8.47","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"14.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","58.89","-1.00","0.00","7.54","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"14.00","car3","5.00","E0","E0_0","E0_0","","0.00","28.26","-1.00","0.00","5.68","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"14.00","car2","0.00","E0","E0_0","E0_0","","0.00","63.38","-1.00","0.00","8.22","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"14.00","car6","0.00","E12","E12_0","E12_0","","100.97","139.15","-1.00","2.89","2.60","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"14.00","car0","0.00","E12","E12_0","E12_0","","114.09","152.49","-1.00","2.78","2.56","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"14.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","187.68","300.00","13.00","13.00","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"15.00","car7","10.00","-E6","-E6_0","-E6_0","E2_0","0.00","7.96","100.00","0.00","2.91","12.10","10.00","0.00","54.00","64.00","500.00","0","0.89","","80","route2"
"15.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","32.34","100.00","0.00","5.84","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"15.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","74.12","100.00","0.00","8.92","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"15.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","67.03","-1.00","0.00","8.15","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"15.00","car3","5.00","E0","E0_0","E0_0","","0.00","34.58","-1.00","0.00","6.33","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"15.00","car2","0.00","E0","E0_0","E0_0","","0.00","72.13","-1.00","0.00","8.75","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"15.00","car6","0.00","E12","E12_0","E12_0","","100.97","141.72","-1.00","2.89","2.57","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"15.00","car0","0.00","E12","E12_0","E12_0","","114.09","155.13","-1.00","2.78","2.63","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"15.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","200.57","300.00","13.00","12.89","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"16.00","car7","10.00","-E6","-E6_0","-E6_0","E2_0","0.00","11.63","100.00","0.00","3.67","12.10","10.00","0.00","54.00","64.00","500.00","0","0.89","","80","route2"
"16.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","38.59","100.00","0.00","6.25","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"16.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","83.58","100.00","0.00","9.47","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"16.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","75.97","-1.00","0.00","8.94","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"16.00","car3","5.00","E0","E0_0","E0_0","","0.00","41.57","-1.00","0.00","6.99","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"16.00","car2","0.00","E0","E0_0","E0_0","","0.00","81.55","-1.00","0.00","9.42","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"16.00","car6","0.00","E12","E12_0","E12_0","","100.97","144.58","-1.00","2.89","2.86","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"16.00","car0","0.00","E12","E12_0","E12_0","","114.09","158.07","-1.00","2.78","2.94","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"16.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","213.25","300.00","13.00","12.68","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"17.00","car7","10.00","-E6","-E6_0","-E6_0","E2_0","0.00","15.77","100.00","0.00","4.14","12.10","10.00","0.00","54.00","64.00","500.00","0","0.89","","80","route2"
"17.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","45.42","100.00","0.00","6.83","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
